model,category,subtype,pair,layer,patch_type,alpha,progress,kl_ratio,logit_delta_ratio,patch_norm,a_ref_norm,b_ref_norm,norm_ratio_to_a,norm_ratio_to_b,norm_z,max_abs_norm_z,finite,off_manifold,high_progress,over_conversion,negative_progress,labels
qwen3,coreference,deictic_switch,coref_this_that_plan,6,resid_in,1.000000,1.000015,-0.000000,1.000000,84.891724,91.903442,84.891640,0.923706,1.000001,-0.848346,0.848346,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,6,resid_out,1.000000,1.000015,-0.000000,1.000000,9409.895508,9074.948242,9409.863281,1.036909,1.000003,1.151272,1.151272,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,7,resid_in,1.000000,1.000015,-0.000000,1.000000,9409.895508,9074.948242,9409.863281,1.036909,1.000003,1.151272,1.151272,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,7,resid_out,1.000000,0.999279,0.023780,1.000622,9409.798828,9074.842773,9409.761719,1.036910,1.000004,1.151270,1.151270,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,8,resid_in,1.000000,1.000015,-0.000000,1.000000,9409.798828,9074.842773,9409.761719,1.036910,1.000004,1.151270,1.151270,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_plan,8,resid_out,1.000000,1.000015,-0.000000,1.000000,9409.936523,9074.928711,9409.886719,1.036916,1.000005,1.151266,1.151266,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,0,resid_in,0.750000,0.875345,0.084752,0.911062,2.843737,2.930191,2.923451,0.970495,0.972733,0.156316,0.156316,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,0,resid_out,0.750000,0.927260,0.102607,1.000009,28.200390,30.374357,28.300417,0.928428,0.996466,0.311960,0.311960,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,0,resid_in,1.000000,1.000039,0.000000,1.000000,2.923457,2.930191,2.923451,0.997702,1.000002,0.345309,0.345309,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,0,resid_out,1.000000,1.000023,0.000001,1.000012,28.300453,30.374357,28.300417,0.931722,1.000001,0.338503,0.338503,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,0,attn_out,1.000000,0.882849,0.249255,0.972491,9.329020,9.044072,9.329015,1.031507,1.000001,0.015822,0.015822,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,0,mlp_out,1.000000,0.876501,0.102773,0.964727,22.970678,25.283627,22.970659,0.908520,1.000001,0.484269,0.484269,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,1,resid_in,0.750000,0.927285,0.102606,0.999986,28.200390,30.374357,28.300417,0.928428,0.996466,0.311960,0.311960,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,1,resid_out,0.750000,0.880266,0.067026,0.951856,57.383884,58.444969,57.599915,0.981845,0.996249,-0.863022,0.863022,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,1,resid_in,1.000000,1.000039,0.000000,1.000000,28.300453,30.374357,28.300417,0.931722,1.000001,0.338503,0.338503,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,1,resid_out,1.000000,1.000039,0.000000,1.000000,57.599884,58.444969,57.599915,0.985540,0.999999,-0.853337,0.853337,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,2,resid_in,0.750000,0.880266,0.067026,0.951856,57.383884,58.444969,57.599915,0.981845,0.996249,-0.863022,0.863022,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,2,resid_out,0.750000,0.838176,0.069441,0.908470,67.173317,69.147476,67.103157,0.971450,1.001046,-0.919312,0.919312,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,2,resid_in,1.000000,1.000039,0.000000,1.000000,57.599884,58.444969,57.599915,0.985540,0.999999,-0.853337,0.853337,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,2,resid_out,1.000000,1.000039,0.000000,1.000000,67.103142,69.147476,67.103157,0.970435,1.000000,-0.922017,0.922017,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,3,resid_in,0.750000,0.838176,0.069441,0.908470,67.173317,69.147476,67.103157,0.971450,1.001046,-0.919312,0.919312,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,3,resid_in,1.000000,1.000039,0.000000,1.000000,67.103142,69.147476,67.103157,0.970435,1.000000,-0.922017,0.922017,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,3,resid_out,1.000000,1.000039,0.000000,1.000000,67.492561,69.675827,67.492538,0.968665,1.000000,-1.034134,1.034134,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,4,resid_in,1.000000,1.000039,0.000000,1.000000,67.492561,69.675827,67.492538,0.968665,1.000000,-1.034134,1.034134,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,4,resid_out,1.000000,1.000039,0.000000,1.000000,79.193077,83.493698,79.193092,0.948492,1.000000,-0.975619,0.975619,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,5,resid_in,1.000000,1.000039,0.000000,1.000000,79.193077,83.493698,79.193092,0.948492,1.000000,-0.975619,0.975619,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,5,resid_out,1.000000,1.000039,0.000000,1.000000,84.800789,90.111382,84.800720,0.941066,1.000001,-0.852012,0.852012,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,6,resid_out,0.750000,0.800986,0.064029,0.855133,9339.275391,9074.919922,9409.834961,1.029130,0.992502,1.096175,1.096175,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,6,resid_in,1.000000,1.000039,0.000000,1.000000,84.800789,90.111382,84.800720,0.941066,1.000001,-0.852012,0.852012,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,6,resid_out,1.000000,1.000039,0.000000,1.000000,9409.863281,9074.919922,9409.834961,1.036909,1.000003,1.151246,1.151246,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,7,resid_in,0.750000,0.800986,0.064029,0.855133,9339.275391,9074.919922,9409.834961,1.029130,0.992502,1.096175,1.096175,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,7,resid_in,1.000000,1.000039,0.000000,1.000000,9409.863281,9074.919922,9409.834961,1.036909,1.000003,1.151246,1.151246,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,7,resid_out,1.000000,1.000039,0.000000,1.000000,9409.770508,9074.804688,9409.732422,1.036912,1.000004,1.151248,1.151248,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,8,resid_out,0.750000,0.813488,0.030249,0.838180,9339.257812,9074.916992,9409.906250,1.029129,0.992492,1.096123,1.096123,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,8,resid_in,1.000000,1.000039,0.000000,1.000000,9409.770508,9074.804688,9409.732422,1.036912,1.000004,1.151248,1.151248,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_box,8,resid_out,1.000000,1.000039,0.000000,1.000000,9409.959961,9074.916992,9409.906250,1.036920,1.000006,1.151285,1.151285,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_note,0,resid_in,0.750000,0.875382,0.108341,0.914484,2.910193,2.994729,2.988135,0.971772,0.973916,0.313865,0.313865,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_note,0,resid_in,1.000000,1.000017,0.000000,1.000000,2.988141,2.994729,2.988135,0.997800,1.000002,0.498657,0.498657,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
qwen3,coreference,deictic_switch,coref_this_that_note,0,resid_out,1.000000,1.000017,0.000000,1.000000,27.165609,29.348024,27.165581,0.925637,1.000001,0.037469,0.037469,1.000000,0.000000,1.000000,0.000000,0.000000,on_manifold_high_progress
