subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
deep_complement,0.742570,0.760555,0.828706,0.735602,0.828202,0.790340,0.569511,0.756772,0.722166,0.799644,1.000000,0.802031,0.831859,0.795989,0.791181,0.778516,0.813226,0.754487,0.857191,0.812842,0.836989,0.776972,0.746734,0.776893,0.767590,0.851009,0.731482,0.842748,0.860702,0.927235,0.835570,0.763582,0.722827,0.793232,0.809660,0.880397,0.866037,0.825979,0.814813,0.805540,0.771208,0.805529,0.761222,0.833408,0.850953
deictic_switch,0.914245,0.880732,0.937719,0.916141,0.898482,0.850317,0.557646,0.906166,0.909997,0.893592,0.802031,1.000000,0.874407,0.977532,0.967804,0.962051,0.972839,0.898257,0.933562,0.954719,0.827812,0.928476,0.909120,0.771048,0.877681,0.959063,0.914290,0.941462,0.867708,0.798693,0.921929,0.899174,0.899502,0.984221,0.953836,0.960416,0.829430,0.868158,0.958968,0.815511,0.898015,0.971185,0.840916,0.939411,0.913160
double_relative,0.853190,0.755442,0.947568,0.832956,0.741353,0.769840,0.725208,0.836179,0.843499,0.820991,0.831859,0.874407,1.000000,0.883903,0.841695,0.810455,0.882128,0.796329,0.889755,0.865387,0.768708,0.849328,0.847015,0.879589,0.774946,0.843891,0.846384,0.846885,0.764142,0.765753,0.814418,0.797137,0.834619,0.883732,0.855244,0.886519,0.782259,0.803278,0.856421,0.822514,0.785517,0.932057,0.694531,0.924215,0.956458
en_fr_phrase,0.910766,0.885540,0.927205,0.916092,0.884670,0.848215,0.515397,0.914946,0.911172,0.899051,0.795989,0.977532,0.883903,1.000000,0.982753,0.962547,0.981516,0.891584,0.941170,0.964833,0.834568,0.936236,0.904178,0.750973,0.891686,0.951908,0.913364,0.933381,0.865697,0.800182,0.927542,0.905769,0.905314,0.984766,0.963529,0.957930,0.836062,0.867841,0.967673,0.833263,0.902401,0.965730,0.832094,0.946695,0.904417
en_fr_word,0.891124,0.904020,0.893601,0.906445,0.913425,0.865384,0.455507,0.905486,0.895358,0.900965,0.791181,0.967804,0.841695,0.982753,1.000000,0.975011,0.975938,0.895169,0.943494,0.971861,0.847977,0.911305,0.889567,0.712300,0.907355,0.964892,0.894594,0.945243,0.891701,0.815897,0.943776,0.914403,0.895423,0.974873,0.971543,0.958583,0.847370,0.880368,0.976521,0.833947,0.913601,0.941983,0.858046,0.924007,0.865811
en_zh_phrase,0.869040,0.906746,0.873308,0.887323,0.924304,0.862288,0.453042,0.878322,0.873244,0.888665,0.778516,0.962051,0.810455,0.962547,0.975011,1.000000,0.970662,0.896911,0.934882,0.965797,0.838356,0.900961,0.871146,0.696734,0.895779,0.960749,0.872866,0.942501,0.903443,0.799479,0.938021,0.905933,0.870757,0.955394,0.965626,0.950470,0.834593,0.876304,0.974855,0.805905,0.908061,0.922031,0.872193,0.902988,0.840752
en_zh_word,0.900922,0.890607,0.933926,0.916119,0.887828,0.849786,0.545322,0.907899,0.907448,0.899631,0.813226,0.972839,0.882128,0.981516,0.975938,0.970662,1.000000,0.886907,0.958140,0.970069,0.835781,0.929247,0.903306,0.776361,0.893450,0.956178,0.909752,0.947364,0.873761,0.801012,0.924371,0.909165,0.901007,0.979283,0.968958,0.959804,0.845849,0.869442,0.972163,0.820787,0.903543,0.965421,0.836225,0.960443,0.916492
existential_no,0.941537,0.964145,0.837981,0.946073,0.868348,0.953448,0.482234,0.952394,0.941243,0.961190,0.754487,0.898257,0.796329,0.891584,0.895169,0.896911,0.886907,1.000000,0.881444,0.899603,0.921118,0.843705,0.946577,0.688994,0.965341,0.902716,0.939664,0.894722,0.849037,0.781402,0.884897,0.972793,0.934299,0.893322,0.894299,0.896872,0.909260,0.956250,0.904958,0.909391,0.968752,0.870450,0.941267,0.851534,0.814046
formal,0.865493,0.887096,0.906609,0.866661,0.911386,0.875494,0.567834,0.870325,0.856265,0.897192,0.857191,0.933562,0.889755,0.941170,0.943494,0.934882,0.958140,0.881444,1.000000,0.960759,0.866205,0.891790,0.863414,0.816466,0.893280,0.958189,0.859488,0.966981,0.898777,0.863216,0.936573,0.907166,0.857583,0.931947,0.957722,0.956151,0.863007,0.889763,0.961720,0.855086,0.888827,0.935565,0.850372,0.945492,0.904417
future_will,0.876148,0.907981,0.894683,0.891518,0.926274,0.882171,0.488609,0.890576,0.887334,0.909618,0.812842,0.954719,0.865387,0.964833,0.971861,0.965797,0.970069,0.899603,0.960759,1.000000,0.854718,0.908883,0.882573,0.741655,0.910171,0.969375,0.877346,0.957648,0.912673,0.836174,0.944209,0.920462,0.890850,0.960187,0.997370,0.965498,0.855535,0.894611,0.996058,0.849831,0.917233,0.938266,0.871676,0.930670,0.875695
