subtype,and_or,by_phrase,casual,causal,center_embedding,complement_clause,concise,conditional,contrast,dative_passive,deep_complement,deictic_switch,double_relative,en_fr_phrase,en_fr_word,en_zh_phrase,en_zh_word,existential_no,formal,future_will,get_passive,he_coref,inference,it_coref,lexical_not_adj,long_passive,morphological_neg,negated_condition,nested_condition,nested_contrast,nested_passive,never,no_agent,past_simple,perfect,poetic,possessive_chain,pp_chain,progressive,relative_clause,scope_quantifier,she_coref,syntactic_do_not,target_language_switch,they_coref
deep_complement,0.725376,0.766074,0.844869,0.761898,0.979871,0.772264,0.855976,0.766625,0.762632,0.773114,1.000000,0.941634,0.982750,0.976632,0.957887,0.991439,0.972984,0.768480,0.966657,0.977883,0.767829,0.964614,0.760398,0.842829,0.765867,0.986153,0.771444,0.958595,0.991799,0.974950,0.982975,0.751003,0.759129,0.957575,0.981273,0.973399,0.783359,0.772043,0.979084,0.767811,0.760134,0.942193,0.755476,0.950101,0.852211
deictic_switch,0.750611,0.761601,0.870853,0.760961,0.956747,0.766352,0.874106,0.753667,0.757356,0.763986,0.941634,1.000000,0.952757,0.970620,0.951828,0.953253,0.960676,0.771415,0.943386,0.963080,0.760467,0.979416,0.751013,0.861184,0.760508,0.965100,0.754252,0.965007,0.943781,0.959053,0.960221,0.757465,0.759224,0.964756,0.965484,0.974227,0.744347,0.747443,0.967083,0.752513,0.755538,0.960533,0.756289,0.935967,0.874900
double_relative,0.721478,0.779552,0.837996,0.765639,0.992164,0.781656,0.846213,0.765138,0.762648,0.784188,0.982750,0.952757,1.000000,0.985687,0.955353,0.990235,0.983297,0.776390,0.985490,0.996715,0.775942,0.966440,0.761794,0.830849,0.778256,0.993798,0.778476,0.978672,0.989111,0.984384,0.993392,0.767353,0.765161,0.957383,0.996778,0.982556,0.780527,0.783154,0.994375,0.779879,0.767651,0.937105,0.772576,0.938880,0.846103
en_fr_phrase,0.730357,0.781122,0.847808,0.771479,0.981844,0.777492,0.854615,0.772606,0.769383,0.780896,0.976632,0.970620,0.985687,1.000000,0.966991,0.988358,0.988873,0.783416,0.985431,0.991062,0.775901,0.981739,0.766097,0.838105,0.779677,0.993773,0.777973,0.986805,0.976659,0.976275,0.993088,0.771616,0.771127,0.972727,0.990896,0.991673,0.775373,0.773803,0.990241,0.779374,0.773125,0.953709,0.775571,0.944140,0.856495
en_fr_word,0.755468,0.748843,0.904141,0.783612,0.944551,0.750042,0.916623,0.782788,0.784700,0.759074,0.957887,0.951828,0.955353,0.966991,1.000000,0.969195,0.971597,0.762877,0.935412,0.954064,0.752456,0.981430,0.779727,0.903255,0.743787,0.971677,0.774426,0.931806,0.945066,0.927615,0.964360,0.726365,0.777606,0.991764,0.956607,0.944765,0.760285,0.740440,0.950701,0.740478,0.731976,0.972872,0.734515,0.980033,0.927002
en_zh_phrase,0.726209,0.773810,0.849149,0.772305,0.985988,0.776797,0.858580,0.775590,0.771631,0.779940,0.991439,0.953253,0.990235,0.988358,0.969195,1.000000,0.984767,0.776599,0.980060,0.988894,0.776010,0.976608,0.770387,0.843977,0.776299,0.993427,0.781065,0.973640,0.989151,0.977970,0.993350,0.761984,0.770109,0.967978,0.989541,0.984086,0.784870,0.777617,0.988280,0.775816,0.769303,0.948607,0.764572,0.954453,0.857925
en_zh_word,0.731422,0.774160,0.861173,0.774527,0.978269,0.770709,0.868135,0.772321,0.772880,0.775872,0.972984,0.960676,0.983297,0.988873,0.971597,0.984767,1.000000,0.777624,0.977213,0.985033,0.769886,0.979078,0.771145,0.854585,0.772354,0.989999,0.778529,0.972498,0.971514,0.966638,0.987286,0.757948,0.774631,0.975914,0.983446,0.978932,0.772231,0.769232,0.982519,0.771032,0.759604,0.955497,0.766675,0.951942,0.872941
existential_no,0.949035,0.988828,0.673674,0.976986,0.772693,0.987597,0.679469,0.983539,0.979738,0.990365,0.768480,0.771415,0.776390,0.783416,0.762877,0.776599,0.777624,1.000000,0.774330,0.780616,0.988453,0.777873,0.974780,0.666865,0.986642,0.781865,0.986161,0.777322,0.768509,0.772193,0.780626,0.986339,0.983358,0.767852,0.780782,0.780107,0.980820,0.979180,0.781429,0.984970,0.980018,0.754939,0.981168,0.748386,0.680771
formal,0.701400,0.780375,0.810482,0.753618,0.983691,0.772774,0.815821,0.756193,0.749219,0.775546,0.966657,0.943386,0.985490,0.985431,0.935412,0.980060,0.977213,0.774330,1.000000,0.989319,0.771633,0.955695,0.749116,0.799443,0.781272,0.984352,0.768715,0.988235,0.975821,0.976231,0.989202,0.773347,0.757770,0.938959,0.986270,0.986514,0.770763,0.776626,0.986642,0.780226,0.773205,0.922838,0.776581,0.913945,0.816063
future_will,0.722213,0.782634,0.831309,0.765851,0.990988,0.783681,0.838287,0.764617,0.762310,0.785316,0.977883,0.963080,0.996715,0.991062,0.954064,0.988894,0.985033,0.780616,0.989319,1.000000,0.778269,0.971267,0.760621,0.821789,0.782637,0.994060,0.777122,0.987108,0.984309,0.986290,0.995296,0.774470,0.765578,0.957605,0.998866,0.989644,0.776944,0.781751,0.998632,0.782433,0.772806,0.937663,0.776901,0.932623,0.838515
get_passive,0.931779,0.990314,0.669781,0.959290,0.773065,0.987132,0.674787,0.971139,0.963518,0.992173,0.767829,0.760467,0.775942,0.775901,0.752456,0.776010,0.769886,0.988453,0.771633,0.778269,1.000000,0.771437,0.959777,0.664078,0.988859,0.777730,0.973219,0.774969,0.772424,0.772570,0.779908,0.987928,0.967368,0.757968,0.777279,0.775558,0.985085,0.983617,0.777442,0.989313,0.989401,0.746989,0.984218,0.743620,0.673388
he_coref,0.755604,0.765799,0.886794,0.778189,0.962113,0.765585,0.894573,0.777588,0.779440,0.769901,0.964614,0.979416,0.966440,0.981739,0.981430,0.976608,0.979078,0.777873,0.955695,0.971267,0.771437,1.000000,0.776882,0.880353,0.763071,0.980772,0.771835,0.963461,0.958895,0.955546,0.977361,0.756097,0.777960,0.989279,0.971906,0.971531,0.764265,0.755377,0.971755,0.760382,0.760486,0.971224,0.754985,0.968908,0.899785
inference,0.961378,0.952029,0.701464,0.994719,0.751983,0.958088,0.709974,0.991081,0.993892,0.959809,0.760398,0.751013,0.761794,0.766097,0.779727,0.770387,0.771145,0.974780,0.749116,0.760621,0.959777,0.776882,1.000000,0.698413,0.948278,0.769530,0.984974,0.744225,0.752636,0.743427,0.765589,0.943213,0.992125,0.776374,0.761485,0.751821,0.963911,0.953535,0.758586,0.946785,0.939646,0.761321,0.933654,0.772726,0.715954
